seq,phase,object,f08,f0c,f14,f30,buf_base,cursor,end,capacity_guess,record_count_guess,trigger_pc,note
1,during_opcode,0x2A8264,0x2A83EC,0x2A83A4,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_at_1C40C"
2,during_opcode,0x2A8264,0x2A83EC,0x2A83A4,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
3,during_opcode,0x2A8264,0x2A83BC,0x2A83A4,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
4,during_opcode,0x2A8264,0x2A83BC,0x2A83A4,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
5,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
6,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
7,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
8,during_opcode,0x2A8264,0x2A83C4,0x2A83A4,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
9,during_opcode,0x2A8264,0x2A83A4,0x2A83A4,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
10,during_opcode,0x2A8264,0x2A83EC,0x2A83A4,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
11,during_opcode,0x2A8264,0x2A83AC,0x2A83A4,0x2A84CC,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
12,during_opcode,0x2A8264,0x2A83AC,0x2A83A4,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
13,during_opcode,0x2A8264,0x2A83AC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
14,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x0,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
15,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x0,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
16,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
17,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
