seq,pc,off,insn,taken,r0,r1,r2,r3,r4,mem_addr,mem_val,pred,note
1,0x92924,0x12924,0x2A000008,2,0x27FC84,0x0,0x0,0x28065C,0x0,0x2A8294,0x100,"Bcond->0x9294C","post_two_records phase=during_opcode"
2,0x92948,0x12948,0x3AFFFFF7,2,0x27FC84,0x8,0xBC,0x28065C,0x2AF924,0x2A8294,0x100,"Bcond->0x9292C","post_two_records phase=during_opcode"
3,0x92960,0x12960,0x2A000008,2,0x5E,0x7,0xBC,0x28065C,0x2AF924,0x2A8294,0x100,"Bcond->0x92988","post_two_records phase=during_opcode"
4,0x929AC,0x129AC,0x0A0001AD,1,0x5,0x17,0x2,0x28065C,0x0,0x2A8294,0x100,"Bcond->0x93068","post_two_records phase=during_opcode"
5,0x93098,0x13098,0x2A000007,2,0x2AF924,0x5,0x17,0x28065C,0x0,0x2A8294,0x100,"Bcond->0x930BC","post_two_records phase=during_opcode"
6,0x930D4,0x130D4,0x2A000007,2,0x2AF924,0x0,0x0,0x17,0x0,0x2A8294,0x100,"Bcond->0x930F8","post_two_records phase=during_opcode"
7,0x930F4,0x130F4,0x3AFFFFF7,2,0x2AF924,0x8,0xFD,0xFD,0x0,0x2A8294,0x100,"Bcond->0x930D8","post_two_records phase=during_opcode"
8,0x9310C,0x1310C,0x2A000007,2,0x2AF924,0x8,0x3,0x7,0x0,0x2A8294,0x100,"Bcond->0x93130","post_two_records phase=during_opcode"
9,0x9312C,0x1312C,0x3AFFFFF7,2,0x2AF924,0x9,0xB,0x4F,0x0,0x2A8294,0x100,"Bcond->0x93110","post_two_records phase=during_opcode"
10,0x9316C,0x1316C,0x8A000001,2,0x2AF924,0x13,0x0,0x4F,0x7,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
11,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x0,0x4F,0x7,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
12,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x1,0x4,0x4,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
13,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x1,0x4,0x4,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
14,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x2,0x0,0x1,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
15,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x2,0x0,0x1,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
16,0x9319C,0x1319C,0x3AFFFFF7,2,0x2AF924,0x13,0x2,0x78,0x9,0x2A8294,0x100,"Bcond->0x93180","post_two_records phase=during_opcode"
17,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x3,0x0,0x6,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
18,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x3,0x0,0x6,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
19,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x4,0x6,0x3,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
20,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x4,0x6,0x3,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
21,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x5,0x3,0x0,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
22,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x5,0x3,0x0,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
23,0x9319C,0x1319C,0x3AFFFFF7,2,0x2AF924,0x13,0x5,0x1B,0x8,0x2A8294,0x100,"Bcond->0x93180","post_two_records phase=during_opcode"
24,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x6,0x3,0x5,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
25,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x6,0x3,0x5,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
26,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x7,0x3,0x2,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
27,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x7,0x3,0x2,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
28,0x9319C,0x1319C,0x3AFFFFF7,2,0x2AF924,0x13,0x7,0xD5,0xA,0x2A8294,0x100,"Bcond->0x93180","post_two_records phase=during_opcode"
29,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x8,0x4,0x7,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
30,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x8,0x4,0x7,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
31,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0x9,0x2,0x4,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
32,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0x9,0x2,0x4,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
33,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0xA,0x5,0x1,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
34,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0xA,0x5,0x1,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
35,0x9319C,0x1319C,0x3AFFFFF7,2,0x2AF924,0x13,0xA,0xB5,0x9,0x2A8294,0x100,"Bcond->0x93180","post_two_records phase=during_opcode"
36,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0xB,0x3,0x6,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
37,0x9317C,0x1317C,0x2A000007,2,0x2AF924,0x13,0xB,0x3,0x6,0x2A8294,0x100,"Bcond->0x931A0","post_two_records phase=during_opcode"
38,0x931BC,0x131BC,0x3AFFFFED,2,0x2AF924,0x13,0xC,0x5,0x3,0x2A8294,0x100,"Bcond->0x93178","post_two_records phase=during_opcode"
