seq,pc,off,insn,desc,r0,r1,r2,r3,r4,r5,sp,lr,note
1,0x928F8,0x128F8,0xE92D4DF0,"w=0xE92D4DF0",0x27FC84,0x0,0xFFFFFFFF,0x27FA84,0x0,0x2827A0,0x27FC80,0xA0D34,"producer"
2,0x928FC,0x128FC,0xE59FB340,"w=0xE59FB340",0x27FC84,0x0,0xFFFFFFFF,0x27FA84,0x0,0x2827A0,0x27FC60,0xA0D34,"producer"
3,0x92900,0x12900,0xE59F8340,"w=0xE59F8340",0x27FC84,0x0,0xFFFFFFFF,0x27FA84,0x0,0x2827A0,0x27FC60,0xA0D34,"producer"
4,0x92904,0x12904,0xE08BB009,"w=0xE08BB009",0x27FC84,0x0,0xFFFFFFFF,0x27FA84,0x0,0x2827A0,0x27FC60,0xA0D34,"producer"
5,0x92908,0x12908,0xE59B1004,"w=0xE59B1004",0x27FC84,0x0,0xFFFFFFFF,0x27FA84,0x0,0x2827A0,0x27FC60,0xA0D34,"producer"
6,0x9290C,0x1290C,0xE59F3338,"w=0xE59F3338",0x27FC84,0x0,0xFFFFFFFF,0x27FA84,0x0,0x2827A0,0x27FC60,0xA0D34,"producer"
7,0x92910,0x12910,0xE59B2000,"w=0xE59B2000",0x27FC84,0x0,0xFFFFFFFF,0x25C,0x0,0x2827A0,0x27FC60,0xA0D34,"producer"
8,0x92914,0x12914,0xE24DDE4A,"w=0xE24DDE4A",0x27FC84,0x0,0x0,0x25C,0x0,0x2827A0,0x27FC60,0xA0D34,"producer"
9,0x92918,0x12918,0xE0888009,"w=0xE0888009",0x27FC84,0x0,0x0,0x25C,0x0,0x2827A0,0x27F7C0,0xA0D34,"producer"
10,0x9291C,0x1291C,0xE3510001,"w=0xE3510001",0x27FC84,0x0,0x0,0x25C,0x0,0x2827A0,0x27F7C0,0xA0D34,"producer"
11,0x92920,0x12920,0xE0833009,"w=0xE0833009",0x27FC84,0x0,0x0,0x25C,0x0,0x2827A0,0x27F7C0,0xA0D34,"producer"
12,0x92924,0x12924,0x2A000008,"Bcond 0x9294C",0x27FC84,0x0,0x0,0x28065C,0x0,0x2827A0,0x27F7C0,0xA0D34,"producer"
13,0x92928,0x12928,0xE5984000,"w=0xE5984000",0x27FC84,0x0,0x0,0x28065C,0x0,0x2827A0,0x27F7C0,0xA0D34,"producer"
14,0x9292C,0x1292C,0xE593C000,"w=0xE593C000",0x27FC84,0x0,0x0,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xA0D34,"producer"
15,0x92930,0x12930,0xE28CE001,"w=0xE28CE001",0x27FC84,0x0,0x0,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xA0D34,"producer"
16,0x92934,0x12934,0xE583E000,"w=0xE583E000",0x27FC84,0x0,0x0,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
17,0x92938,0x12938,0xE7D4C00C,"w=0xE7D4C00C",0x27FC84,0x0,0x0,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
18,0x9293C,0x1293C,0xE182211C,"w=0xE182211C",0x27FC84,0x0,0x0,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
19,0x92940,0x12940,0xE2811008,"w=0xE2811008",0x27FC84,0x0,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
20,0x92944,0x12944,0xE3510001,"w=0xE3510001",0x27FC84,0x8,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
21,0x92948,0x12948,0x3AFFFFF7,"Bcond 0x9292C",0x27FC84,0x8,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
22,0x9294C,0x1294C,0xE202C001,"w=0xE202C001",0x27FC84,0x8,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
23,0x92950,0x12950,0xE580C000,"w=0xE580C000",0x27FC84,0x8,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
24,0x92954,0x12954,0xE2411001,"w=0xE2411001",0x27FC84,0x8,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
25,0x92958,0x12958,0xE3510002,"w=0xE3510002",0x27FC84,0x7,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
26,0x9295C,0x1295C,0xE1A000A2,"w=0xE1A000A2",0x27FC84,0x7,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
27,0x92960,0x12960,0x2A000008,"Bcond 0x92988",0x5E,0x7,0xBC,0x28065C,0x2AF924,0x2827A0,0x27F7C0,0xB,"producer"
