idx,tag,a,b,c,detail
0,PLAT_10102,0x10102,0x304589,0x304589,"app=0x1E200 r2=0x30D301 r3=0x0 sp=0x27FD20 r9=0x2B1858"
1,PLAT_10140,0x10140,0x304589,0x304589,"app=0x5 r2=0x682AA4 r3=0x30630D sp=0x27FD20 r9=0x2B1858"
2,PLAT_10102,0x10102,0x304589,0x304589,"app=0x1E200 r2=0x30D301 r3=0x0 sp=0x27FF90 r9=0x2B1858"
3,PLAT_10140,0x10140,0x304589,0x304589,"app=0x5 r2=0x682AA4 r3=0x30630D sp=0x27FF90 r9=0x2B1858"
4,FAMILY_1E209,0x1E209,0x304589,0x304589,"app=0x3 r2=0x0 r3=0x0 sp=0x27FF40 r9=0x2B1858"
5,FAMILY_HANDLER_ENTER,0x1E209,0x3,0x30D301,"handler=0x30D301 r2=0x6AD11C r3=0x0"
6,FAMILY_HANDLER_ENTER,0x1E209,0x9,0x30D2F9,"handler=0x30D2F9 r2=0x0 r3=0x0"
7,FAMILY_HANDLER_ENTER,0x1E209,0x9,0x30D301,"handler=0x30D301 r2=0x6AD11C r3=0x0"
8,FAMILY_HANDLER_ENTER,0x1E209,0x9,0x305EB9,"handler=0x305EB9 r2=0x0 r3=0x0"
9,UI_BUILDER_ENTER,0x304BF0,0x2D93D1,0x0,"loadingbar!201!29.bmp"
10,UI_BUILDER_ENTER,0x304BF0,0x2D93D1,0x0,"loadingbar!201!29.bmp"
11,RESOURCE_1,0x304BF0,0x2D93D1,0x2,"loadingbar!201!29.bmp"
12,MRP_RESUME,0x0,0x0,0x0,"epilogue"
13,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6BBB98,0x2D93D1,0x1,"loadingbar!201!29.bmp"
14,RESOURCE_2,0x304BF0,0x2D93D1,0x2,"bar!16!18.bmp"
15,MRP_RESUME,0x0,0x0,0x0,"epilogue"
16,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6BBC00,0x2D93D1,0x2,"bar!16!18.bmp"
17,RESOURCE_3,0x304BF0,0x2D93D1,0x2,"textbar!120!30.bmp"
18,MRP_RESUME,0x0,0x0,0x0,"epilogue"
19,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6BBC70,0x2D93D1,0x3,"textbar!120!30.bmp"
20,FAMILY_1E209,0x1E209,0x304589,0x304589,"app=0x9 r2=0x0 r3=0x0 sp=0x27FF98 r9=0x2B1858"
