idx,tag,a,b,c,detail
0,PLAT_10102,0x10102,0x304589,0x304589,"app=0x1E200 r2=0x30D301 r3=0x0 sp=0x27FD20 r9=0x2B1858"
1,PLAT_10140,0x10140,0x304589,0x304589,"app=0x5 r2=0x682AA4 r3=0x30630D sp=0x27FD20 r9=0x2B1858"
2,PLAT_10102,0x10102,0x304589,0x304589,"app=0x1E200 r2=0x30D301 r3=0x0 sp=0x27FF90 r9=0x2B1858"
3,PLAT_10140,0x10140,0x304589,0x304589,"app=0x5 r2=0x682AA4 r3=0x30630D sp=0x27FF90 r9=0x2B1858"
4,FAMILY_1E209,0x1E209,0x304589,0x304589,"app=0x3 r2=0x0 r3=0x0 sp=0x27FF40 r9=0x2B1858"
5,FAMILY_HANDLER_ENTER,0x1E209,0x3,0x30D301,"handler=0x30D301 r2=0x6AD11C r3=0x0"
6,FAMILY_HANDLER_ENTER,0x1E209,0x9,0x30D2F9,"handler=0x30D2F9 r2=0x0 r3=0x0"
7,FAMILY_HANDLER_ENTER,0x1E209,0x9,0x30D301,"handler=0x30D301 r2=0x6AD11C r3=0x0"
8,FAMILY_HANDLER_ENTER,0x1E209,0x9,0x305EB9,"handler=0x305EB9 r2=0x0 r3=0x0"
9,UI_BUILDER_ENTER,0x304BF0,0x2D93D1,0x0,"loadingbar!201!29.bmp"
10,UI_BUILDER_ENTER,0x304BF0,0x2D93D1,0x0,"loadingbar!201!29.bmp"
11,RESOURCE_1,0x304BF0,0x2D93D1,0x2,"loadingbar!201!29.bmp"
12,MRP_RESUME,0x0,0x0,0x0,"direct_lr"
13,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6BBB98,0x2D93D1,0x1,"loadingbar!201!29.bmp"
14,RESOURCE_2,0x304BF0,0x2D93D1,0x2,"bar!16!18.bmp"
15,MRP_RESUME,0x0,0x0,0x0,"direct_lr"
16,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6BE990,0x2D93D1,0x2,"bar!16!18.bmp"
17,RESOURCE_3,0x304BF0,0x2D93D1,0x2,"textbar!120!30.bmp"
18,MRP_RESUME,0x0,0x0,0x0,"direct_lr"
19,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6BEC48,0x2D93D1,0x3,"textbar!120!30.bmp"
20,FAMILY_1E209,0x1E209,0x304589,0x304589,"app=0x2 r2=0x0 r3=0x0 sp=0x27FF00 r9=0x2B1858"
21,RESOURCE_4,0x304BF0,0x2D93D1,0x2,"topleft!15!5.bmp"
22,MRP_RESUME,0x0,0x0,0x0,"direct_lr"
23,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6C08E0,0x2D93D1,0x4,"topleft!15!5.bmp"
24,RESOURCE_5,0x304BF0,0x2D93D1,0x2,"topright!12!4.bmp"
25,LAST_RESOURCE_COMPLETE,0x304BF0,0x2D93D1,0x5,"topright!12!4.bmp"
26,UI_BUILDER_LEAVE_CANDIDATE,0x304BF0,0x2D93D1,0x0,"await_pc_leave_builder"
27,MRP_RESUME,0x0,0x0,0x0,"direct_lr"
28,ENTRY_COMPLETE_SKIPPED_NATIVE,0x6C09F0,0x2D93D1,0x5,"topright!12!4.bmp"
29,FIRST_POST_UI_PC,0x2D93D0,0x0,0x0,""
30,UI_BUILDER_LEAVE,0x305E08,0x2D93D1,0x0,"left_2D92E4_band"
31,PLAT_OTHER,0x10133,0x304589,0x304589,"app=0x6C099C r2=0x0 r3=0x0 sp=0x27FEB8 r9=0x2B1858"
32,PLAT_OTHER,0x10134,0x304589,0x304589,"app=0x60 r2=0x0 r3=0x0 sp=0x27FED0 r9=0x2B1858"
33,PLAT_OTHER,0x10133,0x304589,0x304589,"app=0x6BBADC r2=0x0 r3=0x0 sp=0x27FF28 r9=0x2B1858"
34,PLAT_OTHER,0x10133,0x304589,0x304589,"app=0x6BBAB4 r2=0x0 r3=0x0 sp=0x27FF30 r9=0x2B1858"
35,PLAT_OTHER,0x10133,0x304589,0x304589,"app=0x6BBAC4 r2=0x0 r3=0x0 sp=0x27FF30 r9=0x2B1858"
36,FAMILY_HANDLER_ENTER,0x1E201,0x3,0x30D301,"handler=0x30D301 r2=0x6AD11C r3=0x0"
37,FAMILY_HANDLER_ENTER,0x1E201,0x9,0x30D301,"handler=0x30D301 r2=0x6AD11C r3=0x0"
38,PLAT_OTHER,0x10133,0x304589,0x304589,"app=0x1E1FD r2=0x0 r3=0x0 sp=0x27FF28 r9=0x2B1858"
39,FAMILY_HANDLER_ENTER,0x1E201,0x6,0x30D301,"handler=0x30D301 r2=0x6AD11C r3=0x0"
