run_id,dispatch_call_id,pc,base_reg,offset,effective_addr,value,feeds
p14_r2_20260730_013052,1,0x2E2520,r0,0x0,0x6BBAC8,0x5,"entry_obj+0"
p14_r2_20260730_013052,1,0x2E2520,r0,0x4,0x6BBACC,0x6BBAB8,"entry_obj+4"
p14_r2_20260730_013052,1,0x2E2520,r0,0x8,0x6BBAD0,0x4,"entry_obj+8"
p14_r2_20260730_013052,1,0x2E2520,r0,0xC,0x6BBAD4,0x0,"entry_obj+12"
p14_r2_20260730_013052,1,0x2E2520,r0,0x4,0x6BBAB8,0xFFFFFFFF,"inner_via_+4[+0]"
p14_r2_20260730_013052,1,0x2E2520,r0,0x4,0x6BBABC,0x0,"inner_via_+4[+4]"
p14_r2_20260730_013052,1,0x2E2520,r0,0x4,0x6BBAC0,0x10,"inner_via_+4[+8]"
p14_r2_20260730_013052,1,0x2E2524,r0,0x0,0x6BBAC8,0x5,"event_code->index=code-3"
p14_r2_20260730_013052,1,0x2E252A,r0,0x3,0x0,0x2,"index=event_code-3"
p14_r2_20260730_013052,1,0x2E252E,r0,0x0,0x0,0x2,"CMP_index_vs_max"
p14_r2_20260730_013052,2,0x2E2520,r0,0x0,0x6C1118,0x5,"entry_obj+0"
p14_r2_20260730_013052,2,0x2E2520,r0,0x4,0x6C111C,0x6C10F0,"entry_obj+4"
p14_r2_20260730_013052,2,0x2E2520,r0,0x8,0x6C1120,0x1F,"entry_obj+8"
p14_r2_20260730_013052,2,0x2E2520,r0,0xC,0x6C1124,0x0,"entry_obj+12"
p14_r2_20260730_013052,2,0x2E2520,r0,0x4,0x6C10F0,0x1000000,"inner_via_+4[+0]"
p14_r2_20260730_013052,2,0x2E2520,r0,0x4,0x6C10F4,0x6F640B00,"inner_via_+4[+4]"
p14_r2_20260730_013052,2,0x2E2520,r0,0x4,0x6C10F8,0x65566E77,"inner_via_+4[+8]"
p14_r2_20260730_013052,2,0x2E2524,r0,0x0,0x6C1118,0x5,"event_code->index=code-3"
p14_r2_20260730_013052,2,0x2E252A,r0,0x3,0x0,0x2,"index=event_code-3"
p14_r2_20260730_013052,2,0x2E252E,r0,0x0,0x0,0x2,"CMP_index_vs_max"
p14_r2_20260730_013052,3,0x2E2520,r0,0x0,0x6C1118,0x5,"entry_obj+0"
p14_r2_20260730_013052,3,0x2E2520,r0,0x4,0x6C111C,0x6C10F0,"entry_obj+4"
p14_r2_20260730_013052,3,0x2E2520,r0,0x8,0x6C1120,0x1F,"entry_obj+8"
p14_r2_20260730_013052,3,0x2E2520,r0,0xC,0x6C1124,0x0,"entry_obj+12"
p14_r2_20260730_013052,3,0x2E2520,r0,0x4,0x6C10F0,0x1000000,"inner_via_+4[+0]"
p14_r2_20260730_013052,3,0x2E2520,r0,0x4,0x6C10F4,0x6F640B00,"inner_via_+4[+4]"
p14_r2_20260730_013052,3,0x2E2520,r0,0x4,0x6C10F8,0x65566E77,"inner_via_+4[+8]"
p14_r2_20260730_013052,3,0x2E2524,r0,0x0,0x6C1118,0x5,"event_code->index=code-3"
p14_r2_20260730_013052,3,0x2E252A,r0,0x3,0x0,0x2,"index=event_code-3"
p14_r2_20260730_013052,3,0x2E252E,r0,0x0,0x0,0x2,"CMP_index_vs_max"
