run_id,object_id,object_base,field_offset,store_pc,store_size,old_value,new_value,src_reg,src_value,lr,sp,r0,r1,r2,r3,r9,stage
launcher_20260724_224902_82890,4,0x2A8374,0x0,0x2E4ED8,4,0x2A9B2C,0x0,0,0x0,0x2E4ECD,0x27FFA0,0x0,0x0,0x3,0x27FD84,0x2B1854,framing_store_plus0
launcher_20260724_224902_82890,4,0x2A8374,0x4,0x2E4EE0,4,0x4,0x2A8364,0,0x2A8364,0x2E4ECD,0x27FFA0,0x2A8364,0x0,0x3,0x27FD84,0x2B1854,framing_store_plus0
launcher_20260724_224902_82890,4,0x2A8374,0x8,0x2E4EE6,4,0x87A574D5,0x3,0,0x3,0x2E4ECD,0x27FFA0,0x3,0x2A8374,0x3,0x27FD84,0x2B1854,framing_store_plus0
launcher_20260724_224902_82890,5,0x2A838C,0x8,0x312A72,4,0x31,0x2A8374,255,0x2A8374,0x2D9AD3,0x27FF90,0x2A838C,0x0,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,5,0x2A838C,0x0,0x312A74,4,0x36303430,0x2A838C,0,0x2A838C,0x2D9AD3,0x27FF90,0x2A838C,0x0,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,5,0x2A838C,0x4,0x312A76,4,0x34383232,0x2A838C,0,0x2A838C,0x2D9AD3,0x27FF90,0x2A838C,0x0,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,7,0x2A83C4,0x0,0x2E4ED8,4,0x84375A38,0x0,1,0x0,0x2E4ECD,0x27FFA0,0xA,0x0,0x3,0x27FD84,0x2B1854,framing_store_plus0
launcher_20260724_224902_82890,7,0x2A83C4,0x4,0x2E4EE0,4,0x18,0x2A83A4,0,0x2A83A4,0x2E4ECD,0x27FFA0,0x2A83A4,0x0,0x3,0x27FD84,0x2B1854,framing_store_plus0
launcher_20260724_224902_82890,7,0x2A83C4,0x8,0x2E4EE6,4,0x735A4942,0xFFFFFFFD,0,0xFFFFFFFD,0x2E4ECD,0x27FFA0,0xFFFFFFFD,0x2A83C4,0x3,0x27FD84,0x2B1854,framing_store_plus0
launcher_20260724_224902_82890,8,0x2A83DC,0x8,0x312A72,4,0x0,0x2A83C4,255,0x2A83C4,0x2D9AD3,0x27FF90,0x2A83DC,0x0,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,8,0x2A83DC,0x0,0x312A74,4,0x75695942,0x2A83DC,0,0x2A83DC,0x2D9AD3,0x27FF90,0x2A83DC,0x0,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,8,0x2A83DC,0x4,0x312A76,4,0x61656443,0x2A83DC,0,0x2A83DC,0x2D9AD3,0x27FF90,0x2A83DC,0x0,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,8,0x2A83DC,0x0,0x312A8A,4,0x2A83DC,0x2A838C,1,0x2A838C,0x2D9AD3,0x27FF90,0x2A83DC,0x2A838C,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,8,0x2A83DC,0x4,0x312A8E,4,0x2A83DC,0x2A838C,1,0x2A838C,0x2D9AD3,0x27FF90,0x2A83DC,0x2A838C,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,5,0x2A838C,0x4,0x312A94,4,0x2A838C,0x2A83DC,0,0x2A83DC,0x2D9AD3,0x27FF90,0x2A83DC,0x2A838C,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,5,0x2A838C,0x0,0x312A98,4,0x2A838C,0x2A83DC,0,0x2A83DC,0x2D9AD3,0x27FF90,0x2A83DC,0x2A838C,0xE,0x0,0x2B1854,node_constructor
launcher_20260724_224902_82890,8,0x2A83DC,0x4,0x312C1E,4,0x2A838C,0x2A83DC,1,0x2A83DC,0x312C17,0x27FFC8,0x2A838C,0x2A83DC,0x2A83DC,0x2,0x2B1854,0x2E2520_entry
launcher_20260724_224902_82890,8,0x2A83DC,0x0,0x312C26,4,0x2A838C,0x2A83DC,1,0x2A83DC,0x312C17,0x27FFC8,0x2A838C,0x2A83DC,0x2A83DC,0x2,0x2B1854,0x2E2520_entry
launcher_20260724_224902_82890,4,0x2A8374,0x4,0x30BC52,4,0x2A8364,0x0,0,0x0,0x304589,0x27FFD0,0x0,0x2A8360,0x0,0x0,0x2B1854,0x2E2520_entry
launcher_20260724_224902_82890,8,0x2A83DC,0x4,0x312C1E,4,0x2A83DC,0x2A83DC,0,0x2A83DC,0x312C17,0x27FFC8,0x2A83DC,0x2A83DC,0x2A83DC,0x1,0x2B1854,0x2E2520_entry
launcher_20260724_224902_82890,8,0x2A83DC,0x0,0x312C26,4,0x2A83DC,0x2A83DC,0,0x2A83DC,0x312C17,0x27FFC8,0x2A83DC,0x2A83DC,0x2A83DC,0x1,0x2B1854,0x2E2520_entry
launcher_20260724_224902_82890,7,0x2A83C4,0x4,0x30BC52,4,0x2A83A4,0x0,0,0x0,0x304589,0x27FFD0,0x0,0x2A83A0,0x0,0x0,0x2B1854,0x2E2520_entry
