run_id,seq,from_pc,to_pc,r0,r1,r2,mapped_ptr,peek0,req_size,role,arg_class
ffp_validate_20260724_040748_40125,1,0x2AEB70,0x80160,0x8,0x80160,0x0,0x0,0x0,0x8,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,2,0x303BC4,0x80160,0x1520,0x80160,0x0,0x0,0x0,0x1520,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,4,0x0,0x101AB,0x6AD11C,0x27FFE0,0x0,0x6AD11C,0x0,0x0,plat_101ab_fill,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,8,0x2E4EAE,0x2D99AD,0x3,0x27FFAC,0x0,0x0,0x0,0x3,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,11,0x2D99AC,0x2D99AC,0x3,0x27FFAC,0x0,0x0,0x0,0x3,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,13,0x2D99AE,0x2D99AC,0x3,0x27FFAC,0x0,0x0,0x0,0x3,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,14,0x0,0x10138,0x27FF88,0x27FF84,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,15,0x304A9A,0x80160,0xB,0x80160,0x0,0x0,0x0,0xB,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,17,0x2D9AD0,0x94E34,0x2A8360,0x0,0x0,0x2A8360,0x0,0x0,cross_dsm_mem,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,19,0x94E34,0x94E34,0x2A8360,0x0,0x0,0x2A8360,0x0,0x0,dsm_mem_r0,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,20,0x2E4EB6,0x2D99AD,0xC,0x0,0x0,0x0,0x0,0xC,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,23,0x2D99AC,0x2D99AC,0xC,0x0,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,25,0x2D99AE,0x2D99AC,0xC,0x0,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,26,0x0,0x10138,0x27FF88,0x27FF84,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,27,0x304A9A,0x80160,0x14,0x80160,0x0,0x0,0x0,0x14,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,29,0x2D9AD0,0x94E34,0x2A8370,0x0,0x0,0x2A8370,0x0,0x0,cross_dsm_mem,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,31,0x94E34,0x94E34,0x2A8370,0x0,0x0,0x2A8370,0x0,0x0,dsm_mem_r0,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,34,0x312A60,0x312A60,0x2829D4,0x2A8374,0x0,0x2829D4,0x0,0x0,push_list_and_entry,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,36,0x312A62,0x312A60,0x2829D4,0x2A8374,0x0,0x2829D4,0x0,0x0,push_list_and_entry,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,37,0x312A68,0x2D99AD,0xC,0x2A8374,0x0,0x0,0x0,0xC,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,40,0x312A68,0x2D99AC,0xC,0x2A8374,0x0,0x0,0x0,0xC,node_alloc_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,42,0x2D99AC,0x2D99AC,0xC,0x2A8374,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,44,0x2D99AE,0x2D99AC,0xC,0x2A8374,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,45,0x0,0x10138,0x27FF78,0x27FF74,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,46,0x304A9A,0x80160,0x14,0x80160,0x0,0x0,0x0,0x14,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,48,0x2D9AD0,0x94E34,0x2A8388,0x0,0x0,0x2A8388,0x0,0x0,cross_dsm_mem,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,50,0x94E34,0x94E34,0x2A8388,0x0,0x0,0x2A8388,0x0,0x0,dsm_mem_r0,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,53,0x2E4EAE,0x2D99AD,0xFFFFFFFD,0x27FFAC,0x0,0x0,0x0,0xFFFFFFFD,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,56,0x2D99AC,0x2D99AC,0xFFFFFFFD,0x27FFAC,0x0,0x0,0x0,0xFFFFFFFD,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,58,0x2D99AE,0x2D99AC,0xFFFFFFFD,0x27FFAC,0x0,0x0,0x0,0xFFFFFFFD,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,59,0x0,0x10138,0x27FF88,0x27FF84,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,60,0x304A9A,0x80160,0x5,0x80160,0x0,0x0,0x0,0x5,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,62,0x2D9AD0,0x94E34,0x2A83A0,0x0,0x0,0x2A83A0,0x0,0x0,cross_dsm_mem,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,64,0x94E34,0x94E34,0x2A83A0,0x0,0x0,0x2A83A0,0x0,0x0,dsm_mem_r0,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,65,0x2E4EB6,0x2D99AD,0xC,0x18,0x0,0x0,0x0,0xC,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,68,0x2D99AC,0x2D99AC,0xC,0x18,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,70,0x2D99AE,0x2D99AC,0xC,0x18,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,71,0x0,0x10138,0x27FF88,0x27FF84,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,72,0x304A9A,0x80160,0x14,0x80160,0x0,0x0,0x0,0x14,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,74,0x2D9AD0,0x94E34,0x2A83C0,0x0,0x0,0x2A83C0,0x0,0x0,cross_dsm_mem,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,76,0x94E34,0x94E34,0x2A83C0,0x0,0x0,0x2A83C0,0x0,0x0,dsm_mem_r0,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,79,0x312A60,0x312A60,0x2829D4,0x2A83C4,0x0,0x2829D4,0x2A838C,0x0,push_list_and_entry,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,81,0x312A62,0x312A60,0x2829D4,0x2A83C4,0x0,0x2829D4,0x2A838C,0x0,push_list_and_entry,NODE_ALLOC_REQUEST_INVALID
