run_id,metric,value
p16_A_direct_boot_r1_20260730_032649,enter_30CBBC,1
p16_A_direct_boot_r1_20260730_032649,true_enter_2E2520,0
p16_A_direct_boot_r1_20260730_032649,enter_2DC4D8,0
p16_A_direct_boot_r1_20260730_032649,store_15D,1
p16_A_direct_boot_r1_20260730_032649,store_B71,1
p16_A_direct_boot_r1_20260730_032649,store_15D_pc,0x30CCF4
p16_A_direct_boot_r1_20260730_032649,store_B71_pc,0x2FE854
p16_A_direct_boot_r1_20260730_032649,15D_writer_grade,proven_natural_writer
p16_A_direct_boot_r1_20260730_032649,B71_writer_grade,store_from_unrelated_pc
p16_A_direct_boot_r1_20260730_032649,watch_events,4
p16_A_direct_boot_r1_20260730_032649,dispatch_calls,0
p16_A_direct_boot_r1_20260730_032649,successor_status,POST_DRAIN_SUCCESSOR_BLOCKED
