file,size,hex,be_int
attack.mrp.v,4,0000005e,94
bigWorldMap.mrp.v,4,00000073,115
bmm1.mrp.v,4,00000035,53
bmm2.mrp.v,4,00000035,53
bmm3.mrp.v,4,00000035,53
bmm4.mrp.v,4,00000035,53
bmm5.mrp.v,4,00000035,53
bmm6.mrp.v,4,00000035,53
bmm7.mrp.v,4,00000035,53
bmm8.mrp.v,4,00000035,53
cannon1.mrp.v,4,00000003,3
chi.mrp.v,4,00000004,4
default.mrp.v,4,0000005e,94
default2.mrp.v,4,00000061,97
default3.mrp.v,4,00000064,100
devil1.mrp.v,4,0000000a,10
devil2.mrp.v,4,00000001,1
devil4.mrp.v,4,00000035,53
dong1.mrp.v,4,00000004,4
dongimage.mrp.v,4,00000024,36
downVersion.v,4,000003ee,1006
downimage1.mrp.v,4,00000035,53
downimage2.mrp.v,4,00000035,53
downimage3.mrp.v,4,00000035,53
gun1.mrp.v,4,00000004,4
gun2.mrp.v,4,00000036,54
gunimage.mrp.v,4,00000025,37
hint.mrp.v,4,00000022,34
itemType.mrp.v,4,000001cc,460
man1.mrp.v,4,0000002d,45
man2.mrp.v,4,00000033,51
man3.mrp.v,4,00000004,4
mantecimg.mrp.v,4,00000004,4
mapValue.mrp.v,4,0000002c,44
mapimage1.mrp.v,4,0000002c,44
mapimage2.mrp.v,4,0000003c,60
mapman.mrp.v,4,00000045,69
monster.mrp.v,4,00000109,265
monster1.mrp.v,4,00000008,8
monster10.mrp.v,4,00000036,54
monster2.mrp.v,4,0000000d,13
monster3.mrp.v,4,0000000a,10
monster4.mrp.v,4,0000000f,15
monster5.mrp.v,4,00000022,34
monster6.mrp.v,4,0000002a,42
monster7.mrp.v,4,0000000d,13
monster8.mrp.v,4,00000019,25
monster9.mrp.v,4,00000022,34
mti.mrp.v,4,00000032,50
newzuojia.mrp.v,4,00000039,57
state1.mrp.v,4,00000003,3
tecbuff.mrp.v,4,00000003,3
vmimage.mrp.v,4,00000023,35
weapon1.mrp.v,4,00000005,5
weaponimage.mrp.v,4,00000035,53
wing1.mrp.v,4,00000008,8
wing2.mrp.v,4,00000036,54
wingimage.mrp.v,4,00000037,55
xg1.mrp.v,4,0000001e,30
xg2.mrp.v,4,00000022,34
downVersion,4,000003ee,1006
downVersion.v,4,000003ee,1006
