t_sec,event,depth,serial,pc,lr,sp,r9,cpsr,uc_err,phase,park_owner_depth,park_owner_serial,parked
0.025812,RUN_CODE_ENTER,1,1,0x0,0x0,0x280000,0x0,0x400001D3,0,start=0x80008 stop=0x80000,0,0,0
0.629936,UC_EMU_START_RETURN,1,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0x80008 stop=0x80000,0,0,0
0.664832,RUN_CODE_LEAVE,1,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0x80008 stop=0x80000,0,0,0
0.693343,RUN_CODE_CALLER_RESUME,0,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0x80008 stop=0x80000,0,0,0
0.768220,RUN_CODE_ENTER,1,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
0.815577,UC_EMU_START_RETURN,1,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0
0.844427,RUN_CODE_LEAVE,1,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0
0.874445,RUN_CODE_CALLER_RESUME,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0
4.084030,RUN_CODE_ENTER,1,3,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
5.909846,UC_EMU_START_RETURN,1,3,0xA9C98,0x282A54,0x27FE48,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
7.075985,UC_EMU_START_RETURN,1,3,0x9B94C,0xA5790,0x27FF50,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
8.164185,UC_EMU_START_RETURN,1,3,0x92CE4,0x92FE4,0x27F8E8,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
8.347576,UC_EMU_START_RETURN,1,3,0xA2588,0x9B354,0x27FD90,0x280400,0x1D3,0,start=0xA4178 stop=0x80000,0,0,0
9.116102,UC_EMU_START_RETURN,1,3,0x93288,0x2AF914,0x27F750,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
