t_sec,event,depth,serial,pc,lr,sp,r9,cpsr,uc_err,phase,park_owner_depth,park_owner_serial,parked,returned_depth,returned_serial,resumed_parent_depth,resumed_parent_serial
0.038864,RUN_CODE_ENTER,1,1,0x0,0x0,0x280000,0x0,0x400001D3,0,start=0x80008 stop=0x80000,0,0,0,0,0,0,0
0.704988,UC_EMU_START_RETURN,1,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0x80008 stop=0x80000,0,0,0,0,0,0,0
0.748862,RUN_CODE_LEAVE,1,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0x80008 stop=0x80000,0,0,0,0,0,0,0
0.790760,RUN_CODE_CALLER_RESUME,0,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0x80008 stop=0x80000,0,0,0,1,1,0,0
1.027475,RUN_CODE_ENTER,1,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
1.091676,UC_EMU_START_RETURN,1,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
1.140712,RUN_CODE_LEAVE,1,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
1.182795,RUN_CODE_CALLER_RESUME,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0,1,2,0,0
5.634046,RUN_CODE_ENTER,1,3,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
7.530083,UC_EMU_START_RETURN,1,3,0xA9C98,0x282A64,0x27FE48,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
8.942218,UC_EMU_START_RETURN,1,3,0xA1864,0x282A64,0x27FF28,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
10.040673,UC_EMU_START_RETURN,1,3,0x92CD0,0x92FE4,0x27F8E8,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
10.227784,UC_EMU_START_RETURN,1,3,0xA186C,0x282A64,0x27FD80,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
11.064680,UC_EMU_START_RETURN,1,3,0x9325C,0x2AF924,0x27F750,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
11.185930,UC_EMU_START_RETURN,1,3,0x92CB8,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
11.344984,UC_EMU_START_RETURN,1,3,0x92CCC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
11.573732,UC_EMU_START_RETURN,1,3,0x92CD8,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
11.739766,UC_EMU_START_RETURN,1,3,0x92DB0,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
11.964593,UC_EMU_START_RETURN,1,3,0x92F48,0x17,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
12.155595,UC_EMU_START_RETURN,1,3,0x92D48,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
12.324137,UC_EMU_START_RETURN,1,3,0x92DA4,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
12.504543,UC_EMU_START_RETURN,1,3,0x92D00,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
12.691339,UC_EMU_START_RETURN,1,3,0x92DD8,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
12.875422,UC_EMU_START_RETURN,1,3,0x92D3C,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
13.086757,UC_EMU_START_RETURN,1,3,0x92DD4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
13.288426,UC_EMU_START_RETURN,1,3,0x92D9C,0xD0158,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
13.429287,UC_EMU_START_RETURN,1,3,0x92CE4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
13.608053,UC_EMU_START_RETURN,1,3,0x92CBC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
13.806744,UC_EMU_START_RETURN,1,3,0x92CE4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
14.039271,UC_EMU_START_RETURN,1,3,0x92CF4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
14.222326,UC_EMU_START_RETURN,1,3,0x92E68,0x2AF924,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
14.393821,UC_EMU_START_RETURN,1,3,0x92CF4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
14.516533,UC_EMU_START_RETURN,1,3,0x92F74,0x1017,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
14.703635,UC_EMU_START_RETURN,1,3,0x92FA0,0x7C5F,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
14.875141,UC_EMU_START_RETURN,1,3,0x92CCC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
15.026259,UC_EMU_START_RETURN,1,3,0x92E94,0xD0158,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
15.208094,UC_EMU_START_RETURN,1,3,0x92CE8,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
15.384287,UC_EMU_START_RETURN,1,3,0x92DD8,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
15.541394,UC_EMU_START_RETURN,1,3,0x92F28,0x2AF924,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
15.691556,UC_EMU_START_RETURN,1,3,0x92CEC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
15.855652,UC_EMU_START_RETURN,1,3,0x92D3C,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
15.997005,UC_EMU_START_RETURN,1,3,0x92CE4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
16.157379,UC_EMU_START_RETURN,1,3,0x92F60,0x16A1,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
16.330541,UC_EMU_START_RETURN,1,3,0x92E9C,0x2AF924,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
16.480529,UC_EMU_START_RETURN,1,3,0x92D04,0xD0158,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
16.637247,UC_EMU_START_RETURN,1,3,0x92F2C,0x15,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
16.826636,UC_EMU_START_RETURN,1,3,0x92E94,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
17.002485,UC_EMU_START_RETURN,1,3,0x92D04,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
17.192422,UC_EMU_START_RETURN,1,3,0x92CE4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
17.368176,UC_EMU_START_RETURN,1,3,0x92F74,0xF,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
17.549776,UC_EMU_START_RETURN,1,3,0x93260,0x2AF924,0x27F750,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
17.709644,UC_EMU_START_RETURN,1,3,0x92F74,0x1ED,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
17.881897,UC_EMU_START_RETURN,1,3,0x92F48,0x1,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.039691,UC_EMU_START_RETURN,1,3,0x92F80,0x41,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.195360,UC_EMU_START_RETURN,1,3,0x92CE0,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.352080,UC_EMU_START_RETURN,1,3,0x92F94,0x2FED7,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.522090,UC_EMU_START_RETURN,1,3,0x92DB4,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.672565,UC_EMU_START_RETURN,1,3,0x92D04,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.860364,UC_EMU_START_RETURN,1,3,0x92CDC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.061613,UC_EMU_START_RETURN,1,3,0x92F44,0x73,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
