t_sec,allocation_id,owner_frame_id,kind,guest_va,host_ptr,size,allocated,freed,freed_by_frame_id,free_count,note
3.897529,1,1,start_struct,0x2829D4,0x10F809F4,12,1,0,0,0,ALLOCATED
3.961308,2,1,filename,0x2829E4,0x10F80A04,17,1,0,0,0,ALLOCATED
3.980020,3,1,ext,0x2829FC,0x10F80A1C,9,1,0,0,0,ALLOCATED
4.000532,4,1,entry,0x282A0C,0x10F80A2C,79,1,0,0,0,ALLOCATED
24.902529,5,2,start_struct,0x682AB4,0x11380AD4,12,1,0,0,0,ALLOCATED
24.969325,6,2,filename,0x682AC4,0x11380AE4,17,1,0,0,0,ALLOCATED
24.989639,7,2,ext,0x682ADC,0x11380AFC,9,1,0,0,0,ALLOCATED
25.012304,8,2,entry,0x682AEC,0x11380B0C,79,1,0,0,0,ALLOCATED
65.935514,8,2,entry,0x682AEC,0x11380B0C,79,1,1,2,1,FREED
66.033154,7,2,ext,0x682ADC,0x11380AFC,9,1,1,2,1,FREED
66.125303,6,2,filename,0x682AC4,0x11380AE4,17,1,1,2,1,FREED
66.218316,5,2,start_struct,0x682AB4,0x11380AD4,12,1,1,2,1,FREED
69.942505,4,1,entry,0x282A0C,0x10F80A2C,79,1,1,1,1,FREED
70.025744,3,1,ext,0x2829FC,0x10F80A1C,9,1,1,1,1,FREED
70.108786,2,1,filename,0x2829E4,0x10F80A04,17,1,1,1,1,FREED
70.190302,1,1,start_struct,0x2829D4,0x10F809F4,12,1,1,1,1,FREED
