t_sec,event,phase,frame_id,parent_frame_id,start_dsm_depth,run_depth,run_serial,pc,lr,sp,r9,cpsr,ret,mutex_held,thread_id,extra
0.039269,RUN_CODE_RETURNED_TO_HELPER_TAIL,start=0x80008 stop=0x80000,0,0,0,0,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0,0,27960,outer_runCode
0.140098,MR_EVENT_FRAME_ENTER,bridge_mr_event,1,0,0,0,1,0x80000,0x80104,0x280000,0x0,0x200001D3,-100,0,27960,global_event_t
0.175515,MR_EVENT_FRAME_BEFORE_RUN,bridge_mr_event,1,0,0,0,1,0x80000,0x80104,0x280000,0x0,0x200001D3,-100,0,27960,code_p0_p1_written
0.426717,RUN_CODE_RETURNED_TO_HELPER_TAIL,start=0xA4178 stop=0x80000,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,0,0,27960,outer_runCode
0.461385,HELPER_BEFORE_r9_switch_leave,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,2622436,0,27960,HELPER_BEFORE_r9_switch_leave
0.612364,HELPER_AFTER_r9_switch_leave,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,2622436,0,27960,HELPER_AFTER_r9_switch_leave
0.662007,HELPER_BEFORE_uc_reg_read_R0,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,2622436,0,27960,HELPER_BEFORE_uc_reg_read_R0
0.705219,HELPER_AFTER_uc_reg_read_R0,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,20210701,0,27960,HELPER_AFTER_uc_reg_read_R0
0.744964,HELPER_BEFORE_e10a31d_helper_return,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,20210701,0,27960,HELPER_BEFORE_e10a31d_helper_return
0.778487,HELPER_AFTER_e10a31d_helper_return,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,20210701,0,27960,HELPER_AFTER_e10a31d_helper_return
0.816537,HELPER_BEFORE_gwy_ext_obs_helper_call,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,20210701,0,27960,HELPER_BEFORE_gwy_ext_obs_helper_call
0.854852,HELPER_AFTER_gwy_ext_obs_helper_call,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,20210701,0,27960,HELPER_AFTER_gwy_ext_obs_helper_call
0.897907,HELPER_BEFORE_bridge_uc_restore_regs,helper_tail,0,0,0,0,2,0x80000,0x90DF8,0x280000,0x0,0xA00001D3,20210701,0,27960,HELPER_BEFORE_bridge_uc_restore_regs
0.935788,HELPER_AFTER_bridge_uc_restore_regs,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,HELPER_AFTER_bridge_uc_restore_regs
0.975046,HELPER_BEFORE_deliver_ext_init_seq_after,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,HELPER_BEFORE_deliver_ext_init_seq_after
1.011351,HELPER_AFTER_deliver_ext_init_seq_after,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,HELPER_AFTER_deliver_ext_init_seq_after
1.045467,HELPER_BEFORE_try_product_handshake,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,HELPER_BEFORE_try_product_handshake
1.079947,HELPER_AFTER_try_product_handshake,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,HELPER_AFTER_try_product_handshake
1.113622,HELPER_BEFORE_e10a31c_leave,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,HELPER_BEFORE_e10a31c_leave
1.146866,HELPER_AFTER_e10a31c_leave,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,HELPER_AFTER_e10a31c_leave
1.177791,BRIDGE_MR_EXTHELPER_RETURN,helper_tail,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,return
1.211887,MR_EVENT_FRAME_AFTER_RUN,bridge_mr_event,1,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,helper_returned
